Record-ID,Transcript_CTD,Transcript_PFT,Transcript_SFT
Process-rec-003,"The picture is of a kitchen. There's a mum and two children. It looks a bit like a disaster zone. Mum seems to be in a world of her own, drying a plate. Meanwhile the tap is running and overflowing out the sink. It's water's going on the floor and she doesn't seem to realise it's a problem. Meanwhile the boy is trying to get some cookies for him and his sister. sister while getting another one. The cookie jar is on the top shelf, he's standing on a stool and the stool is just about to fall over. So we are about to have him falling on the floor, probably hidden his head, mum not really knowing what's going on. Outside there's a path to the garden gate. ","purple, pale, placid, pink, peony, clumsy, patchy, perpetual, pace, pontoon, pontificate, pontiff, punt, punter, pint, pino, that bolo, pace, package, packaging, piecemeal, piece, ","cow, bull, you, brown, chicken, goose, camel, elephant, llama, lion, tiger, leopard, cheetah, wildcat, stag, otter, ferret, weasel, stout, pine martin. dog, cat, guinea pig, snake, zebra, wolf, beaver Route, mouse, bowl, shrew. "
Process-rec-059,"I see a woman doing the dishes with an angry look on her face. She's not paying attention as the water is overflowing. I see two children trying to get cookies out of a cookie jar. A little girl is holding her hand out. A little boy is reaching into the cookie jar, but he's about to fall as the stool is precariously leaning in one direction. The window is open to their house. I can see bushes and a tree through the window on the counter next to the lady doing the dishes is to tee your coffee cups in a plate. She's wearing a dress with an apron. The little girl is wearing shoes and socks. Address in a shirt. Little boy is in what appears to be shoes and socks. He's got shorts and a shirt on. It appears to be a somewhat nice house as the kitchen appears to be large. Looking through the window, I'm assuming that's another part of the house that extends off to a 90 degree angle. Indicating that would probably be a very large house. It also looks like there's some bushes in the front yard. It's grass and a tree. The little boy has nicely done hair, so does the little girl. The mother's hair appears to be well taken care of. Everybody is of a normal weight. There is no color in the photograph other than black and white. That's about it. ","Peas, pasta, pimentos, parrots, pickles, pleasant, please, perfunctory, paper, pencil, penguins, phone, I don't know if I said pickles, people, places, post office, post stand-up, purple, pink, ","cat, bear, dog, cat, bear, parrot. Raccoons, squirrel, fox, elephant, lion, tiger, beaver, koala bear, alligator, snake, rattlesnake, coral snake, python. Human beings, we are animals. Let's see, squirrel, chipmunks, fox, elk, deer, reindeer, bison, buffalo, cows, pigs, chickens, ostriches, emus, donkeys, horses, quarter horses, Belgian horses, Mountain lion. "
Process-rec-116,"A child who is trying to pinch a biscuit is following off a stool. The mother is washing pots and Achilles, Flood. ","New Monia, Borussia, polio, blebites, ooooh ","Err, advoque, err, cat, dog, err, tiger, camel, lion, elephant, err, rhino, err, cheater, hyena, err, Wall over. "
Process-rec-105,"Well, it's a kitchen, and there's a little lad standing on a stove which he shouldn't be doing, up a jamja, and the little girl next to him, which is a filming sister, is just holding her arm out uselessly. And then I go further on the picture. Mum is washing up. But she's had a disaster. She needs a plumber. I'm just the man. She's flooding the place. And she's washing the place up. But she's not doing very well. But there's a pair of lovely curtains in. I didn't know her curtains. I didn't hit you many. That's that. I don't know. What happened to the little boy? He's only halfway down. He maybe went full down and broke his leg or something. She's got blonde hair, she's quite nice. It's just sort of girl I would go after actually. But the nut, I can't think of anything else. ","Play, pause, plant, picture. I can't remember any other. Pay? Play? ","Dog, cat, tiger lion, elephant, monkey. Why am I going to have this, monkey well? Animals, horses, alligators, crocodiles, Snakes. Mmm, I should have more than that. Can't have a mention cats or no cats, big cats and little cats. Big dogs and little dogs. Can't remember, you know how can't remember. Birds are they animals? I don't know whether they're animals. I can't remember anymore animals. They're under this load, isn't it? Tagger? "
Process-rec-133,It looks like a mother that's washing the pots and she's left the tap running which so the water is pooling on the floor and behind her back the two children are doing something they shouldn't to get to the cookie jar which is on the top shelf of a cupboard and the little boy has been standing on a tall stool and it's just in danger of falling over. ,"Parrot, popcorn, pear, poppy, pee, parsnip, parachute, Plim Sol. Parasol. Um, bye. Pencil. Pen. ","Cut, dog, mouth, hamster, snake, gerbil, chimpanzee, gorilla, lion tiger, chihuahua, polcat, elephant, rhinoceros, hippopotamus, whale, dolphin, seal, hens, Donkeys, horses, spiders, goldfish, birds, dinosaurs, their extinct. I've said nice. of Renowned of Steam. "
Process-rec-049,"Two kids going into the cupboard on the stool which is supposed to be mum's got sink running and water's piling up at sink because she's obviously not watching what she's doing. She's washing pots. She's looking at it when they're in garden. The kids are reaching for cookies and tools about, the tools about to fall over because they're still on it wrong. ","pair, people, penis, plum, pony, paper, Pin Places No. ","animal, ant, beetle, cat, dog, elephant, fish, goat, horse, lamb, monkey, nude, octopus, Pig, pony, python, rabbit, rodent, rat, well, dolphin, "
Process-rec-094,"This appears to be a picture of a family in a kitchen. There is a young girl with shoulder length hair, skirt, a t-shirt, shoes and leggings. With her arm up towards her, probably brother, maybe speaking at him. The brother is stood on a tall stool, reaching into a cupboard where there is a cookie jar and some biscuits. He appears to be falling off the stool. He has a biscuit in his hand and one hand in the jar. He has short hair. He has socks and shoes on. In the same room, his mum is stood at the kitchen sink with the water overflowing, the tap running. The water is running onto the floor. She is drying a dish. It appears not to have noticed that the water is running. She is wearing an apron. She's dressed and she has hair just on her chin. She's stood by the window. The window curtains are open. I can see another house outside. Three grass hedges, probably a window. On the worktop there are two cups, a plate. There are one, two, three cupboard doors where I can see the handles. One cupboard door open and maybe three or four of us closed. There is no colour in the picture. It is all black and white. The curtains have a ruffle on the top and are wavy. There are two taps with one spout so one tap pouring into the sink. Let's see what else I can see. The lady in the picture who probably the mother appears to be frowning a little. The young girl appears to be laughing and the boy probably a little bit scared because he's falling off the stool. The lady who's probably the mother has a A tea towel in her hand drain the dishes. It looks like a plate. Next to the cups on the worktop, maybe another plate. ","Pen, paper, polka dots, pleasing, popular, partner, props, pencils, retractors, people persuading property. panda, pull, pull, pull vault, pentathlon, promise, population, parity, pleasing, ","dog, cat, bear, horse, cow, bison, flies, wasps, bees, zebras, giraffe, beavers, octopus, whales, fish, angel fish, llama, alpacas, Buffalo cheaters, jaguars, lions, reindeer, stags, elks, polar bears, brown bears, koala bears, pandas, snakes, I go on as lizards. "
Process-rec-004,"A mother presumably or a female, an adult female and two children, a male child and a female child. The adult female is washing or drying dishes at an overflowing sink. with the window open and the captain is blowing and she's not playing with any attention whatsoever to the children. She's got to have that to them. The male child is on top of a stool and it's trying to get into an open cupboard. He seems to have an open cookie jar and he has taken one cookie out of his left hand. He is collecting another cookie in his right hand But the three-legged stool he is standing on is beginning to topple over. Meanwhile, the girl is standing in front of him with her hand out stretch to collect one of the cookies. The child is about to fall and the adult still has no idea what is going on in the hangar. ","like pool, swimming pool, different kind of pool, plethora, puzzle, place, point, paper, paint, pencil, power, please, people, plastic, plate, prevent, provide, perhaps, papyrus, perplex, promote, promotion, pandemic, Thank you. ","and Impala, Cheetah, Lion, Red Panda, Black and White Panda, Elephant Giraffe, Springbok, Zebra, Vinoceros, Armadillo, Fox, Ego, peacock, hummingbird, rain, robin, hippopotamus, "
Process-rec-135,"So there is a lady who is washing the dishes and then be known to her. The sink is all overflowing because the taps are open and the water is all over the kitchen floor. There's a young boy who was on a stool trying to grab some cookies from the cook teacher. As he's doing this, his stool has kind of arched backwards and he may fall and his sister or a female girl is stood next to him. reaching out for cookie from this boy's hand. ","Pilot, pepper, person, proximal, post, postman, pin, pencil, pen, product, police, pony, pantomime, phantom, palace, pinnacle, produce palm, point, pick, picking, poster, palette, paint, prick, plant, pick, ","Dog, cat, horse, donkey, beaver, otter, cow, sheep, kangaroo, hippopotamus, badger, hedgehog, bat, cows, sheep, lamb, goats, reindeer, antelopes, I didn't know that I didn't know that. Crocodiles, alligators, frogs, toads, lizards, geckos, mutes, moths, bull, camels, snakes, sloth, toucans, pelicans, blackbirds, eagle, swan, "
Process-rec-039,"In the woman is drawing a plate but the water is coming out of the sink she's left the tap on and it's coming all over the floor she's going to get wet feet. The children are in the cupboard going for biscuits, a cookie jar is on the outside of the tin. The boy is standing on a stool and the stool is going to end up on the floor. The little girl is looking up at him, got waiting for the cookie, which is in his left hand. She's putting her left hand up to take it. She might just get it before he falls over. The cupboard door is open so he can do that. This curtains at the window and you can see the garden. The garden has a path and it looks like flowers and a gate. The window is open. The curtains are pulled back with a ribbon. There are things on the by the sink as well. There are one, two, three, there's five, six, seven cupboards. She's got a short hair blonde and she is wearing an apron over a dress and she's wearing shoes and the two children are wearing shoes with socks. The boys wearing shorts and a two-shirt and the girl is wearing what looks like a short dress. ","Oh, um, pot pan, pie, pieces, um, pot purée, pansies, petunias. Oh, gosh, I do crosswords every day. I can't think. people, places, pop, popcorn, oh gosh, this is parrots, I can't say parrots. Oh, I can't say parrots. ","Coalabairs, dogs, cats, cows, pigs, hens, lions, tigers, leopards, cheaters, bears, grisly bears, brown bears, polar bears, oh gosh, camels, rabbits, skinny pigs, hamsters. I think I've said dogs and cats. Monkeys, chimpanzees, gorillas, pandas, all heavens, bison, buffalo, genus, alligators, crocodiles, their animals, their reptiles, horses, racing horses, chut and ponies, oh, "
Process-rec-088,"A lady is washing up at the sink. The sink is overflowing. The water is flowing onto the floor around her feet. She's drying some pots so she's standing over the sink. Meanwhile, in the background, there are two children, a boy and a girl, a boy standing on a stool with an open cupboard and a cookie jar on the second shelf in the cupboard. The jar is open and the boy seems to be handling cookies down to his apparent sister, to a girl who's standing on the floor. and there are curtains which are open showing a garden under house and all of this is going on in the corner of a kitchen with kitchen units. If it's the mother, the lady is wearing a dress, the boy is wearing shorts, and the little girl is wearing a skirt and top, or maybe that's a dress as well. The boy looks to be precariously balanced on his stool while he's attempting to get the cookies out of the jar. ","pot, pan, potato, piero, polythene, posthumous, peristaltis, prism, piano, particle, prominence, prick, prat, preponderance, pasture, polythene, polyethylene, polygon, polygamy, pulses, ","dog, puma, elephant, lion, tiger, hippopotamus. I was going to say penguin, but that's a bird. Sheep, cow, pig, "
Process-rec-137,There's a little while getting into the cupboard. It's climbed on a stool and is falling off. He's trying to get the cookie jar. He's sister's waiting for a cookie to be passed down. The mum is drawing the pots but she's left the sink on and the waters are overflowing. There's pots on the side. You can see out into the garden. The mum looks too busy to be seeing what the children are doing. ,"pound, puppy, um, part, particle, pickle, pom, pom, pomegranate, pomegranate, picture, proof, part, particle, um, oh, plank, Pelican, pole, poppe, panel, contour, ","Elephant, monkey, zebra, snake, giraffe, dog, cat, mouse, rat, antelope, crocodile, Antita, a mousse, cow, pig sheep, goat, bear, lion tiger, a Panther, a baboon, a gorilla, snake, fish, a whale, shark, dolphin, spider, an ant, a butterfly, a lidd bird, "
Process-rec-126,"I can see a young boy reaching for a jar in a cardboard and is in a stool, which is dripping down. A young girl is trying to receive the jar. And in there is a woman like drawing washing plates and drawing them in a kitchen. And the woman is poured Pour some water on the floor and it's stepping on it. ","Place, light, pivot, P, P, proper, light, personal, plant, Blau. Plain. Pepas. Penlope. ","Lion, leopard, zebra, giraffe, tiger, dog, cow, goat, sheep, pig, crocodile, hippo, cat, mea cat, monkey, Kangaloo, Wambor, Pokkupai, Gazebo, Impala, "
Process-rec-011,"There's a boy on the chair and he looks like he's tipping over because he's trying to get the cookies out of the top shelf and the girl on the left is trying to get him to get some cookies probably and the mom's washing pots and she looks like she's a daydream in and the sink is overflowing and can't tell what's happening outside, if it's what the weather's like, and the water's going everywhere over the floor, and the boat's on the left just about to fall under the floor. ","Peace, purposes, potatoes, parasites, pneumonia, Physics. Portable. ","Antelope spider snake dinosaur lion tiger giraffe sea lion fish shark Totois cat dog snake birds, wasps, bees, fleas, caterpillars, elephants, Thank you. "
Process-rec-113,"The picture is of two children, a boy and a girl. The boy is on a stool which is about to fall over. He's trying to take some cookies out of a cookie jar. The children are in the kitchen with a woman who I expect as a mother. She's got the taps on like the sink and the sink is overflowing and water is going on to the floor. She's busy drying dishes within the kitchen that a work surface and a number of cupboards. There's curtains up at the window from the window. You can see another house, you can see a pathway, you can see the garden, probably a hedge and a tree. On the work surface there's two dishes what looks like two dishes and a plate. The baby has got a dress on and shoes and the children both have shoes on and socks. ","Pen, peninsular, pencil case, pilgrim, please, progress, pathway, pyramid, The cellar. Yes. Plug. Picture. ","monkeys, gorillas, elephants, giraffes, camels, rhinoceros, alligators, chimpanzees, bats, ducks, swans, pigeons, cats, dogs, guinea pigs, mice, rats, badges, otters, seals, penguins, whales, elephants, "
Process-rec-139,"So it appears that there's a lady, possibly her children in the kitchen, months trying to wash up, washes washing up, the sinks overflowing. Behind her there's two kids trying to get into the cookie jar. One of them's climbed on a stool and it appears that is going to fall off. She's trying to dry up at the same time as the kitchen's flooding. There's a kitchen and there's a window which looks out onto the garden and to a neighbouring house the windows open. There is some place to the right and side of the sink. The little girl appears to be laughing while her possibly brother is falling off the stove while passing her some cookies. ","Power, Psychiatry, Psychologist, Pediatrician, Pablo, Penta, Paper, Peace, padlocks, padding, playing, positive, ","cats, dog, elephant, giraffe, hippopotamus, monkey, chimpanzee, fish, although they're mammals, guinea pigs, mice, rats, birds, lions, tigers, Lippers, elephants. I can't think of any more. Reptiles. "
Process-rec-038,"This shows a picture of a mother washing up in the sink where the water is flowing over the side. She's trying to wipe the plate. She's looking away from two children who are behind her. She's actually as an open window by the looks of things. The children behind her are messing about looking for some biscuits from a cookie jar by the looks of things. There's a girl and a boy. little boy has climbed onto a three-legged stool and he has his hand in the cookie jar. The little girl is on his left and the stool is toppling. He's beginning to topple backwards and she's thrown up her left arm presumably in horror. I don't know, I can't really see their faces properly. Other than that, there's a crockery on the side where mum is doing the washing up. She's obviously not seeing what the children are doing. Curtains of heart. ","pussycat panda, poppet, pee, perception, perfect, pretty, philosophy, physiotherapy, psychology, psychiatry, pink, present, pedicure, Paddington, I'm sorry, Paddington, perhaps, principal, prince, prize, prize, poppy, predicament, puzzle, pretty ","And Peter and their cat dog, sheep, fox, wolf, camel, elephant, cow, zebra, giraffe, beaver, We're all buffalo, elephant, lizard, goat, sheep out. "
Process-rec-022,There is a young boy trying to get cookies out of a cookie jar on a store which is about to collapse. The woman is standing by the sink washing up but the water is flowing out onto the floor which is making it dangerous. The window appears to be open and the it was over there into the sink and that's about it really. ,"poke, pack, pick, porcupine, persistence, prevalence, paternity, cutinia, paraphernalia, probable, perhaps prescription, pertinence, Pan, pancake, pandemonium, peculiar, pixelated, pandemic, probably, playable, ","and to lope. A-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a. The elephant, fox, ma, pigeon, crow, eagle, tiger, lion, wolf, that dog, tick, tick, bison, moose, "
Process-rec-018,"A boy was standing on a stool, reaching for the cookie jar and he's just about to fall. His looks like his sister is trying to help him. His mother doesn't seem to have noticed. She is over by the sink where the water has spilled over onto the floor and she's about to get very wet. ","paper, petrol, policeman, patrol, positive paraphernalia, paper, paragraph, puppy, pencil, pen, paraphernalia, maybe I said that before. Present, past. I can't think of any at the moment. Plan, pleasant place. ","cat, lion, tiger, elephant, antelope, cow, bull, duck. No, that's a bird, isn't it? No, it's an animal. Oh, is it? Okay. But hen, cock, turkey, hamster, I'm sorry, I get stuck after a while. I can't think of any more. You've got another, you've got more time so you can just let your mind blend and start again. It's running out now, right? Okay. I wasn't going to suggest any to you. "
Process-rec-089,"It looks like he's in a kitchen. Looks like a mum and her, so children. She's been washing the pots, she's drying them. There's water overflowing from the sink. There's winder. It's actually like, I look out at other houses with curtains. There's a girl in the boy. The boy's on a stool. He's stood on it trying to reach something out of the cupboard and he's falling off it. The little girl's looking up, trying ","It's Puma. Please pardon. Peculiar person, people, post, premiership. People, person, pretend polite. Please pull, pal, pence, prince, plop, poem as in many of the poems. ","Hamster, rabbit, hair, a runger tank, my favourite. Monkeys, spiders, snakes, lust snakes, kangaroos, cats, dog. I can't think of anywhere at the moment. Oh kangaroo. Willowby. Otters. Giraffe, my favourite. Bears. Tiger. "
Process-rec-072,This looks like a mother that is distracted. She's got the sink overflowing with water while she's doing dishes. She's no doubt got the kids driving her crazy one boy on a step stool reaching into a cookie jar. Looks like the stool's falling over. So he's going to fall and maybe bunk his head as a little sister's asking for a cookie and she's kind of laughing. And it is just a very chaotic scene. Looks like there's an open window with a view to the outside that's above the sink. Can't tell what kind of day it is because it's a black and white picture. That's it. ,"pizza, parable, plum, perfume, pardon, purse, palatable, plantation, planet, planted, plume, penalty, penitentiary, pending pellet, persevere, pumping, professional, pipe, pipeline, preparation, pony, par, parse, part, ","Ryan Tiger, Bear, Snake, Calama Bear, Kangaroo, Monkey, Elephant, Zebra, Draft, Hippopotamus, Squirrel, Bat, Bird, Dog, Cat, Rabbit, hamster, gerbil, shark, fish, whale, dolphin. Keep going. Emu, ostrich, ape, alligator cock it out. "
Process-rec-074,"It looks like things, it looks like it's in a kitchen, it's a kitchen scene and it looks like there's a few accidents that are about to happen. We have mom stood at the sink washing up and the sink is all flowing onto the floor, causing a perhaps a potential slip hazard. our potential flooding if she doesn't turn the taps up. We have two children who are trying to get to a cookie jar on the top shelf of one of the cupboards. The girl stood on the floor reaching up for cookie whilst the boy is stood on a stool which is starting to tip over and he has his hand in the cookie jar. So the stool is starting to tip over and it looks like he could end up falling on the floor when it does. Mum's the sink is near the window and we can see out of the window that there's what looks like a nice garden and we can see that there's some cups and a plate on the side either to wash up or to be washed up. That's as much as I can say really without starting to paint myself. ","Please, pancake, pan, popular, pleasant, pacify, pacifist, public, prototype, parrot, polish, predictable, possess, product, Pagmatic, politician, politics, party, pebble, portable, precious, princess, paddle, ","Panda dog cat, snake, parrot, lion, llama, alpaca, bear, cheetah, polar bear. Let's see what else. Kangaroo. Mama set, alligator, crocodile, donkey, horse, lizard, fish, fox, badger, stove, weasel, "
Process-rec-063,"Well in this picture you're seeing a family lady at washing the dishes and the water is overflowing into the floor. She's busy wiping one of the dishes clean with a towel and she's got the window open. Not much going on outside. There's some dishes left on the counter. And as you move into the picture, you see there's a young boy about to fall off of a stool and he had to use to get up into the cookie jar. He's got a cookie in his left hand as a young girl has her hand out stretch trying to grab the cookie in his hand. and the young boys grabbing another cookie and he's losing his balance and that's the end of this ","Party pizza, pan, potato, property, physical, paper, product, pans, pots, pictures, paintings, popperies, potatoes, ","Horses, cats, dogs, sheep, lands, goats, ponies, envelopes, elephants, hyenas, cougars, tigers, lions, bears, wildebeest, raccoons, opossums, squirrels, monkeys, orangutans, dinosaurs, teradactyls, turtles, "
